lambda js same-js diff-js entropy js-v same-js-v diff-js-v entropy-v
0.0 0.217557092219 0.261981375614 0.162764515305 0.592996124237 0.221090085804 0.266548722982 0.165041215718 0.593780862075
0.05 0.21758483771 0.28021360116 0.140332929141 0.140520114841 0.220807135105 0.284658029675 0.142078734934 0.141414152166
0.1 0.218229381264 0.282855933213 0.138533120498 0.0679680270792 0.22134783864 0.286830365658 0.140610821545 0.0683874714623
0.15 0.219988344213 0.298703786487 0.122888413437 0.0649430949712 0.222998201847 0.303062096238 0.124277051538 0.0650322286926
0.2 0.223454715237 0.310365950998 0.116267113403 0.0591329139913 0.226478502154 0.315196439624 0.117088016123 0.0595673466867
0.25 0.229856566617 0.317710260603 0.121500340588 0.0592525103176 0.233752995729 0.325800031424 0.120250422508 0.0602038973788
0.3 0.23158200211 0.336865753486 0.1017427091 0.0573138103813 0.234381884336 0.341060742736 0.102840643376 0.057424067755
0.35 0.238293690111 0.358383943349 0.0901777755695 0.0624639764089 0.241425089538 0.363860785961 0.0904595665634 0.0627724104428
0.4 0.23772800185 0.34729523827 0.102622456377 0.0570029349363 0.242496341467 0.355189800262 0.103538069874 0.0575983860534
0.45 0.247609203755 0.38229742371 0.0815088253144 0.0623894883491 0.251493230462 0.388858020306 0.0821048058569 0.0632672391796
0.5 0.248680930968 0.385168963655 0.0803444534344 0.0602140214959 0.250497184694 0.387876689434 0.0810893215239 0.0604994418593
0.55 0.263084928798 0.421149321235 0.0681364186462 0.0672502155002 0.265942811966 0.424566730857 0.070346519351 0.067599302819
0.6 0.259321490858 0.40862022187 0.0751808638879 0.0659854626057 0.263293847442 0.413521692157 0.0780416056514 0.0663330241399
0.65 0.276410666769 0.455618033544 0.0553836785159 0.0751615143603 0.281895875931 0.464283376932 0.0569771640003 0.0761903739804
0.7 0.265606440938 0.419532865679 0.0757581819154 0.0667747168181 0.269009530544 0.424148872495 0.077693361789 0.0672017044741
0.75 0.285557267848 0.470181845266 0.0578218245962 0.0767646893896 0.290202230215 0.477626353502 0.0590693056583 0.077327165741
0.8 0.297380623528 0.498777313015 0.0489689792533 0.0819875087959 0.302492231131 0.506909281015 0.0504102632403 0.0828377194468
0.85 0.306352485217 0.513757339175 0.0505897110736 0.0858613759714 0.313512265682 0.524528414011 0.0532988179475 0.0865361173031
0.9 0.301014382952 0.502221849081 0.052808442647 0.0827000774977 0.30542562902 0.509094178677 0.0542780589312 0.0833311894038
0.95 0.307686952928 0.519774674504 0.0461170926425 0.0865314852964 0.311771199107 0.526169627905 0.04736934416 0.0870003298232
