frequency f1 f2 f3 f4 f5 f6 f7 f8 f9 f10 f11 f12 f13 f14 f15 f16 f17 f18 f19 f20
0.000000 0.000000 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
7.812500 0.000922 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
15.625000 0.001844 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
23.437500 0.002766 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
31.250000 0.003688 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
39.062500 0.004610 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
46.875000 0.005532 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
54.687500 0.006454 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
62.500000 0.007376 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
70.312500 0.008298 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
78.125000 0.009221 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
85.937500 0.010143 0.000000 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
93.750000 0.010062 0.000418 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
101.562500 0.009244 0.001143 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
109.375000 0.008426 0.001869 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
117.187500 0.007609 0.002594 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
125.000000 0.006791 0.003319 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
132.812500 0.005973 0.004045 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
140.625000 0.005155 0.004770 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
148.437500 0.004337 0.005495 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
156.250000 0.003520 0.006221 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
164.062500 0.002702 0.006946 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
171.875000 0.001884 0.007671 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
179.687500 0.001066 0.008396 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
187.500000 0.000249 0.009122 0.000000 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
