frequency energy envelope
0.0 17.7110416971 24.395140887
31.25 20.6894864453 24.299674978
62.5 22.319407451 24.0663469801
93.75 23.6696763827 23.788494332
125.0 25.4030746229 23.526564281
156.25 21.0177039047 23.3058995418
187.5 22.6404539973 23.1344214573
218.75 23.8474875088 23.0137628619
250.0 24.3679582437 22.9441372463
281.25 19.4504492368 22.9262831932
312.5 21.3030722688 22.9622311827
343.75 23.9340974745 23.0554572692
375.0 23.5700792309 23.2100758341
406.25 21.6684691008 23.4269715541
437.5 17.7155557729 23.6898045977
468.75 24.4913500992 23.9256520858
500.0 22.7706765153 23.9636418858
531.25 21.6379360276 23.6779795612
562.5 21.6657814092 23.1893075122
593.75 24.3324716505 22.6680703093
625.0 22.5452817005 22.186859349
656.25 21.9868804802 21.7605484521
687.5 20.3514666495 21.3861326454
718.75 21.8310135047 21.0569522425
750.0 19.6868776362 20.7665978873
781.25 19.8465762377 20.5097356652
812.5 20.6811233227 20.2821062434
843.75 22.0162769129 20.0803426259
875.0 13.4257374968 19.9017814533
906.25 18.8410396171 19.7443078904
937.5 20.0603819259 19.606236737
968.75 15.4995293529 19.4862235349
1000.0 17.0735084067 19.3831986831
1031.25 16.6252997724 19.2963188065
1062.5 17.2902575972 19.2249310729
1093.75 18.6689046896 19.1685473665
1125.0 18.0574302827 19.1268261602
1156.25 17.3879433774 19.0995606241
1187.5 20.0290165279 19.0866720385
1218.75 18.2281839269 19.088207996
1250.0 17.3538263996 19.1043452274
1281.25 17.3514747551 19.1353972039
1312.5 19.8059005317 19.1818269755
1343.75 17.5958063501 19.244266012
1375.0 15.4876358763 19.3235401053
1406.25 19.002711332 19.4207035774
1437.5 15.6032884566 19.5370828769
1468.75 18.0727512091 19.6743294757
1500.0 16.4443471027 19.834478092
1531.25 20.0137280447 20.0199952294
1562.5 20.9561065191 20.2337731726
1593.75 16.8077709336 20.4789447594
1625.0 20.227449116 20.7581814363
1656.25 21.2225215201 21.0715832933
1687.5 22.4283486752 21.4109876548
1718.75 20.9174401955 21.7468322558
1750.0 17.5941965326 22.0091518248
1781.25 23.2056889685 22.0995237379
1812.5 22.2390929121 21.9815777433
1843.75 20.5073954668 21.7285200623
1875.0 18.4890058458 21.4340058189
1906.25 21.2445659347 21.1503305484
1937.5 20.3281419917 20.8963045407
1968.75 20.0981224441 20.6754975365
2000.0 19.6537217076 20.4860117894
2031.25 21.0538676661 20.3243999889
2062.5 18.8544619103 20.1870563568
2093.75 18.5102033019 20.0706484754
2125.0 19.672111942 19.9722061484
2156.25 20.8937824653 19.889098849
2187.5 18.8510321303 19.8189876721
2218.75 19.8028290303 19.7597830131
2250.0 19.5533134917 19.7096183365
2281.25 20.4178635096 19.6668419766
2312.5 19.3835988454 19.6300249131
2343.75 18.5301246637 19.5979800056
2375.0 20.3248492133 19.569786455
2406.25 19.4630003572 19.5448123855
2437.5 19.297858073 19.5227287399
2468.75 20.4672637564 19.5035093289
2500.0 21.0933641332 19.4874146027
2531.25 18.0442247435 19.4749598205
2562.5 18.9525376345 19.4668708756
2593.75 17.9236151283 19.4640323367
2625.0 20.0505909221 19.4674319485
2656.25 17.4994113531 19.4781039684
2687.5 18.8753589211 19.4970705979
2718.75 16.571166331 19.5252766108
2750.0 18.1752971535 19.5635070034
2781.25 15.9931958596 19.6122706618
2812.5 18.7746353393 19.671624204
2843.75 19.3999691196 19.7408999419
2875.0 20.5981385515 19.8182951814
2906.25 16.8295862127 19.9002931512
2937.5 17.5159079948 19.9809586535
2968.75 21.4415593159 20.051351652
3000.0 20.6329997043 20.0996613223
3031.25 19.5669566613 20.1129470005
3062.5 18.6408589411 20.0808491725
3093.75 20.416799673 19.9998032784
3125.0 19.7360726293 19.8747625115
3156.25 19.6274099291 19.7169542075
3187.5 18.8501172838 19.5395740784
3218.75 19.8967447343 19.3543338377
3250.0 18.2602951612 19.1700129617
3281.25 18.0363060942 18.9924915072
3312.5 18.3904859714 18.8253905907
3343.75 20.2482864985 18.6707758506
3375.0 17.2344418906 18.5297196397
3406.25 18.7847428417 18.4026946328
3437.5 16.5228067508 18.289831658
3468.75 19.4189043557 18.191082733
3500.0 13.4155186758 18.1063223253
3531.25 17.7374693799 18.0354098658
3562.5 17.6213969571 17.9782285832
3593.75 16.146730654 17.9347102431
3625.0 12.6012207861 17.9048518289
3656.25 14.8184239657 17.888727996
3687.5 15.7850321558 17.8865017815
3718.75 16.913209644 17.8984352437
3750.0 13.8817733606 17.9249012187
3781.25 15.1785038969 17.9663970788
3812.5 16.6240666004 18.0235611146
3843.75 17.7312929586 18.0971918099
3875.0 17.260233826 18.1882695601
3906.25 15.8580097082 18.297978796
3937.5 19.3175170976 18.4277249149
3968.75 18.8838672973 18.5791324385
4000.0 20.0363914711 18.7539929541
4031.25 17.2389376183 18.9540913203
4062.5 19.595200578 19.1807493715
4093.75 20.4167074178 19.4337345978
4125.0 17.925598996 19.7088168529
4156.25 20.6770615899 19.9928295285
4187.5 21.0546808302 20.2559105984
4218.75 17.1446989834 20.4472207609
4250.0 18.7884902305 20.5133119108
4281.25 19.9200704993 20.4417461999
4312.5 19.6000500828 20.2742984097
4343.75 21.0236753711 20.0678744838
4375.0 19.8121126725 19.8622613037
4406.25 20.0934883461 19.677484505
4437.5 18.8833512415 19.5216082862
4468.75 19.3467637161 19.3970394124
4500.0 13.0488828634 19.3039079174
4531.25 19.3622382337 19.241641254
4562.5 18.6518665114 19.2096485892
4593.75 19.6644043491 19.2075922874
4625.0 17.9889979863 19.235455222
4656.25 20.2234638715 19.2934670177
4687.5 19.0670413001 19.3818513481
4718.75 19.526525607 19.5002379009
4750.0 20.4035469802 19.646387821
4781.25 20.9393907323 19.8135833012
4812.5 18.2288761701 19.9858935383
4843.75 18.2070210049 20.132040063
4875.0 20.4900316993 20.2051091515
4906.25 20.5058120069 20.1626603477
4937.5 19.4152983253 20.0006871512
4968.75 18.8114469705 19.7572852591
5000.0 17.6482574077 19.4802581427
5031.25 18.6929139696 19.2032214298
5062.5 19.5923690093 18.943644003
5093.75 17.7213189581 18.7087891698
5125.0 18.2385965029 18.5007875157
5156.25 19.4904388109 18.3195149283
5187.5 19.5712880548 18.1640049304
5218.75 15.1891018487 18.0330952958
5250.0 17.9275437599 17.925707051
5281.25 17.4926216648 17.8409517179
5312.5 17.5523389427 17.7781570071
5343.75 18.0417426586 17.7368488416
5375.0 17.8943565637 17.7166999345
5406.25 18.9231922676 17.7174365981
5437.5 17.8751260635 17.7386768979
5468.75 17.9289247095 17.7796481
5500.0 16.8123160548 17.8386951946
5531.25 16.9441321454 17.9124503939
5562.5 17.8553823987 17.9945292654
5593.75 16.6157782328 18.0738045171
5625.0 18.2519205601 18.1330144808
5656.25 18.6870231897 18.1498697281
5687.5 17.6055618971 18.10342123
5718.75 18.1802689794 17.9843667131
5750.0 16.7105089784 17.8007368922
5781.25 17.5521406241 17.5726966482
5812.5 15.3905656599 17.3222163145
5843.75 17.7314384964 17.0663997141
5875.0 15.0817878064 16.816159391
5906.25 15.0356319775 16.5775379373
5937.5 17.1587433415 16.3534351698
5968.75 17.6657555264 16.1449269113
6000.0 17.0427259684 15.9521040718
6031.25 16.9047201639 15.7745633019
6062.5 15.836469694 15.6116810941
6093.75 15.7602026069 15.4627621034
6125.0 15.1638273451 15.3271167633
6156.25 14.1706331963 15.2040998808
6187.5 14.9736384391 15.0931280197
6218.75 13.2553237305 14.9936855865
6250.0 13.0402089556 14.9053251069
6281.25 14.5081521145 14.8276647187
6312.5 12.1060252211 14.7603845296
6343.75 12.9542665414 14.7032227217
6375.0 13.1095900761 14.6559718496
6406.25 13.9079850627 14.6184755316
6437.5 13.7029467389 14.5906255884
6468.75 14.6029986039 14.5723595852
6500.0 12.1220140085 14.5636586552
6531.25 13.8778940494 14.5645454018
6562.5 15.4044077956 14.5750815619
6593.75 10.9768221579 14.5953649535
6625.0 13.014678141 14.6255249737
6656.25 13.2973293581 14.6657155162
6687.5 13.9129298687 14.7161035517
6718.75 14.4883142897 14.7768506298
6750.0 13.321176078 14.8480830381
6781.25 15.827640967 14.92984402
6812.5 16.0141164816 15.0220180149
6843.75 14.2590195436 15.1242121324
6875.0 15.0881317287 15.2355744105
6906.25 15.8468916773 15.3545241483
6937.5 16.0797856406 15.4783739386
6968.75 15.7714047029 15.6028531351
7000.0 14.6677976789 15.7216295237
7031.25 15.9520498669 15.8261003118
7062.5 16.5811211589 15.905941386
7093.75 16.704957533 15.9509091994
7125.0 14.5014658874 15.9537545964
7156.25 15.2766977045 15.9129064546
7187.5 15.1780258555 15.8330939391
7218.75 15.9654238619 15.7234243662
7250.0 14.8802244251 15.5943410917
7281.25 15.5736344754 15.4552227563
7312.5 14.7333142163 15.3132983081
7343.75 15.1880453727 15.1735768272
7375.0 15.6090160366 15.0392485825
7406.25 14.6693798757 14.9121822372
7437.5 13.6404524575 14.7933524594
7468.75 11.309523819 14.6831574638
7500.0 11.8354281724 14.5816377567
7531.25 15.8320180878 14.4886205999
7562.5 14.2014659233 14.4038130524
7593.75 13.5875298463 14.3268609362
7625.0 15.7514655536 14.2573857791
7656.25 13.2478117332 14.1950077405
7687.5 14.2674604431 14.1393597155
7718.75 14.3105947235 14.0900959398
7750.0 13.8272573289 14.046897207
7781.25 14.4412107388 14.0094740253
7812.5 15.0979714845 13.9775685425
7843.75 14.1626311386 13.9509557474
7875.0 12.878209875 13.9294442534
7906.25 12.190385327 13.9128768378
7937.5 11.5327432477 13.9011308336
7968.75 10.9526361478 13.8941184176
